tablescraper-selected-row href,text-right,name,txt,progressBarTxt,progressBarTxt 2,progressBarTxt 3,text-center,kills,deaths,assists,text-center 2
https://www.leagueofgraphs.com/es/champions/builds/rell,37.,Rell,Support,8.6%,52.1%,19.2%,"/
                            
                            /",2.0,6.0,12.6,0.0000
https://www.leagueofgraphs.com/es/champions/builds/morgana,38.,Morgana,Support,8.6%,49.4%,28.4%,"/
                            
                            /",2.8,5.6,12.1,0.0001
https://www.leagueofgraphs.com/es/champions/builds/galio,39.,Galio,"Mid, Support",8.3%,51.1%,2.8%,"/
                            
                            /",3.4,5.1,10.7,0.0001
https://www.leagueofgraphs.com/es/champions/builds/renekton,40.,Renekton,Top,8.3%,49.0%,9.4%,"/
                            
                            /",5.0,5.4,5.3,0.0004
https://www.leagueofgraphs.com/es/champions/builds/elise,41.,Elise,Jungler,8.2%,52.1%,12.0%,"/
                            
                            /",6.4,5.1,7.1,0.0004
https://www.leagueofgraphs.com/es/champions/builds/garen,42.,Garen,Top,7.9%,51.9%,4.7%,"/
                            
                            /",6.1,4.8,5.1,0.0005
https://www.leagueofgraphs.com/es/champions/builds/darius,43.,Darius,Top,7.8%,50.9%,33.1%,"/
                            
                            /",6.2,5.6,4.9,0.0061
https://www.leagueofgraphs.com/es/champions/builds/riven,44.,Riven,Top,7.8%,50.7%,2.9%,"/
                            
                            /",6.3,5.6,4.8,0.0033
https://www.leagueofgraphs.com/es/champions/builds/lux,45.,Lux,"Support, Mid",7.6%,49.3%,0.5%,"/
                            
                            /",4.6,5.4,10.0,0.0001
,,,,,,,,,,,
https://www.leagueofgraphs.com/es/champions/builds/twitch,46.,Twitch,AD Carry,7.4%,49.1%,6.8%,"/
                            
                            /",8.4,6.8,7.1,0.0042
https://www.leagueofgraphs.com/es/champions/builds/pyke,47.,Pyke,Support,7.3%,48.7%,3.6%,"/
                            
                            /",6.7,6.4,7.9,0.0030
https://www.leagueofgraphs.com/es/champions/builds/nautilus,48.,Nautilus,Support,7.3%,48.9%,7.8%,"/
                            
                            /",2.1,5.9,12.0,0.0000
https://www.leagueofgraphs.com/es/champions/builds/pantheon,49.,Pantheon,"Mid, Support, Top",7.1%,48.3%,11.5%,"/
                            
                            /",6.2,6.3,7.2,0.0009
https://www.leagueofgraphs.com/es/champions/builds/lillia,50.,Lillia,Jungler,7.1%,46.7%,3.1%,"/
                            
                            /",5.4,5.4,8.2,0.0007
https://www.leagueofgraphs.com/es/champions/builds/kassadin,51.,Kassadin,Mid,6.8%,52.8%,15.6%,"/
                            
                            /",7.6,5.0,5.6,0.0059
https://www.leagueofgraphs.com/es/champions/builds/twistedfate,52.,Twisted Fate,Mid,6.8%,48.1%,0.8%,"/
                            
                            /",4.7,5.4,8.0,0.0004
https://www.leagueofgraphs.com/es/champions/builds/sylas,53.,Sylas,"Mid, Top",6.7%,47.9%,1.9%,"/
                            
                            /",6.1,6.1,6.4,0.0016
https://www.leagueofgraphs.com/es/champions/builds/missfortune,54.,Miss Fortune,AD Carry,6.6%,50.5%,0.6%,"/
                            
                            /",6.9,5.6,7.1,0.0048
https://www.leagueofgraphs.com/es/champions/builds/xayah,55.,Xayah,AD Carry,6.6%,47.9%,0.6%,"/
                            
                            /",6.2,5.3,6.6,0.0022
https://www.leagueofgraphs.com/es/champions/builds/ashe,56.,Ashe,AD Carry,6.6%,50.3%,0.6%,"/
                            
                            /",5.1,5.8,9.1,0.0008
https://www.leagueofgraphs.com/es/champions/builds/nidalee,57.,Nidalee,Jungler,6.6%,47.6%,2.1%,"/
                            
                            /",6.3,4.8,6.7,0.0006
https://www.leagueofgraphs.com/es/champions/builds/blitzcrank,58.,Blitzcrank,Support,6.5%,50.2%,6.9%,"/
                            
                            /",2.0,5.4,11.6,0.0000
https://www.leagueofgraphs.com/es/champions/builds/aatrox,59.,Aatrox,Top,6.4%,49.6%,4.5%,"/
                            
                            /",5.1,5.3,5.6,0.0015
https://www.leagueofgraphs.com/es/champions/builds/vladimir,60.,Vladimir,"Mid, Top",6.4%,50.4%,4.5%,"/
                            
                            /",5.9,4.9,5.6,0.0023
,,,,,,,,,,,
https://www.leagueofgraphs.com/es/champions/builds/talon,61.,Talon,Mid,6.3%,51.4%,4.8%,"/
                            
                            /",8.2,6.0,5.6,0.0021
https://www.leagueofgraphs.com/es/champions/builds/shen,62.,Shen,Top,6.3%,50.1%,2.0%,"/
                            
                            /",3.8,4.7,9.9,0.0001
https://www.leagueofgraphs.com/es/champions/builds/diana,63.,Diana,Mid,6.2%,52.6%,3.0%,"/
                            
                            /",7.0,5.8,6.3,0.0013
https://www.leagueofgraphs.com/es/champions/builds/karma,64.,Karma,Support,6.0%,48.1%,0.3%,"/
                            
                            /",2.0,5.1,11.7,0.0000
https://www.leagueofgraphs.com/es/champions/builds/viktor,65.,Viktor,Mid,5.9%,50.3%,1.3%,"/
                            
                            /",5.3,5.0,6.7,0.0013
https://www.leagueofgraphs.com/es/champions/builds/anivia,66.,Anivia,Mid,5.9%,52.8%,14.8%,"/
                            
                            /",5.8,5.0,7.0,0.0007
